"#"	"Date Heure, GMT+02:00"	"Temp., °C (LGR S/N: 1217466, SEN S/N: 1217466)"	"HR, % (LGR S/N: 1217466, SEN S/N: 1217466)"
1	2020/07/15 18:30:27	27.862	54.06
2	2020/07/15 18:45:27	30.760	40.68
3	2020/07/15 19:00:27	31.880	38.33
4	2020/07/15 19:15:27	32.086	37.41
5	2020/07/15 19:30:27	31.880	36.78
6	2020/07/15 19:45:27	31.472	36.73
7	2020/07/15 20:00:27	30.963	36.87
8	2020/07/15 20:15:27	29.652	32.21
9	2020/07/15 20:30:27	27.961	35.40
10	2020/07/15 20:45:27	27.272	37.87
11	2020/07/15 21:00:27	25.513	40.70
12	2020/07/15 21:15:27	22.812	56.90
13	2020/07/15 21:30:27	21.760	61.45
14	2020/07/15 21:45:27	21.378	62.86
15	2020/07/15 22:00:27	21.282	64.16
16	2020/07/15 22:15:27	21.282	64.80
17	2020/07/15 22:30:27	21.282	64.52
18	2020/07/15 22:45:27	21.282	65.78
19	2020/07/15 23:00:27	21.282	66.84
20	2020/07/15 23:15:27	21.187	67.90
21	2020/07/15 23:30:27	21.091	68.28
22	2020/07/15 23:45:27	20.996	68.42
23	2020/07/16 00:00:27	20.901	67.83
24	2020/07/16 00:15:27	20.805	68.33
25	2020/07/16 00:30:27	20.710	68.10
26	2020/07/16 00:45:27	20.710	67.86
27	2020/07/16 01:00:27	20.615	68.74
28	2020/07/16 01:15:27	20.519	68.88
29	2020/07/16 01:30:27	20.424	68.52
30	2020/07/16 01:45:27	20.329	68.17
31	2020/07/16 02:00:27	20.329	67.69
32	2020/07/16 02:15:27	20.329	67.35
33	2020/07/16 02:30:27	20.234	66.39
34	2020/07/16 02:45:27	20.138	66.41
35	2020/07/16 03:00:27	20.138	66.00
36	2020/07/16 03:15:27	19.948	66.45
37	2020/07/16 03:30:27	19.853	66.99
38	2020/07/16 03:45:27	19.662	67.81
39	2020/07/16 04:00:27	19.567	67.71
40	2020/07/16 04:15:27	19.472	67.62
41	2020/07/16 04:30:27	19.472	68.08
42	2020/07/16 04:45:27	19.377	68.94
43	2020/07/16 05:00:27	19.187	70.16
44	2020/07/16 05:15:27	19.187	70.43
45	2020/07/16 05:30:27	19.092	71.02
46	2020/07/16 05:45:27	18.996	71.64
47	2020/07/16 06:00:27	18.901	72.45
48	2020/07/16 06:15:27	18.901	71.97
49	2020/07/16 06:30:27	18.806	72.30
